count,hate_speech,offensive_language,neither,Label,Text
3,0,0,3,2,rt woman shouldnt complain cleaning house amp man always take trash
3,0,3,0,1,rt boy dats coldtyga dwn bad cuffin dat hoe st place
3,0,3,0,1,rt dawg rt ever fuck bitch start cry confused shit
3,0,2,1,1,rt look like tranny
6,0,6,0,1,rt shit hear might true might faker bitch told ya
3,1,2,0,1,shit blows meclaim faithful somebody still fucking hoes
3,0,3,0,1,sit hate another bitch got much shit going
3,0,3,0,1,cause im tired big bitches coming us skinny girls
3,0,3,0,1,amp might get ya bitch back amp thats
3,1,2,0,1,hobbies include fighting mariam bitch
3,0,3,0,1,keeks bitch curves everyone lol walked conversation like smh
3,0,3,0,1,murda gang bitch gang land
3,0,2,1,1,hoes smoke losers yea go ig
3,0,3,0,1,bad bitches thing like
3,1,2,0,1,bitch get
3,0,3,0,1,bitch nigga miss
3,0,3,0,1,bitch plz whatever
3,1,2,0,1,bitch love
3,0,3,0,1,bitches get cut everyday b
3,0,3,0,1,black bottle amp bad bitch
3,0,3,0,1,broke bitch cant tell nothing
3,0,3,0,1,cancel bitch like nino
3,0,3,0,1,cant see hoes wont change
3,0,3,0,1,fuck bitch dont even suck dick kermit videos bout fuck ig
3,0,3,0,1,got ya bitch tip toeing hardwood floors
3,0,2,1,1,pussy lips like heaven doors
3,0,3,0,1,hoe hitting
3,0,3,0,1,met pussy ocean dr gave pussy pill
3,0,3,0,1,need trippy bitch fuck hennessy
3,0,3,0,1,spend money want bitch business
3,0,3,0,1,txt old bitch new bitch pussy wetter
3,0,3,0,1,id say im back old old bitches would get excited
3,0,3,0,1,aint bout murder game pussy nigga shut
3,0,3,0,1,youre toes aint done pussy stinks
3,0,3,0,1,im done bitter bitches wrap angry bird theres app
3,0,3,0,1,ya bitch
3,0,3,0,1,aint nothing cut bitch
3,0,3,0,1,jus meet son ya mane ass bitches shots
3,0,2,1,1,lames crying hoes thats tears clown
3,0,3,0,1,like snoop said dont love hoes
3,0,1,2,2,momma said pussy cats inside doghouse
3,0,3,0,1,hated hoes favorite mw sevenone
3,0,3,0,1,nice girls bad make get naughty bad yello hoe real nice body south chick like em real thick
3,0,3,0,1,pimps pimps hoes future voice
3,0,3,0,1,post picture pussy get likes
3,0,3,0,1,pussy powerful drug happyhumpday
3,0,3,0,1,quick piece pussy call drive
3,0,3,0,1,running round like brand new pussy thats bout get fucked
3,0,3,0,1,bitches even worst theyll send guys
3,1,2,0,1,hoes like niggas spend money talk bout
3,1,2,0,1,dont trust niggas bitches
3,0,3,0,1,yall niggas b cuffing hoes cause yall aint never bitches
3,0,3,0,1,dodge bullet da bitches cut pregnant bound thank god
3,0,3,0,1,young pill chamberlain bitches love music
3,0,2,1,1,teanna trump probably cleaner twitter hoes
3,0,3,0,1,gay niggas couldnt wait act like bitches tonight
3,0,3,0,1,ima steal cat n replace pitbull rt bitch
3,0,3,0,1,amp hes gone always hoe
3,0,3,0,1,son bitch took tic tacs like movie
3,0,3,0,1,wanna get money fuck model bitches russell simmons
3,0,2,1,1,probably wouldnt mind school much didnt deal bitch ass teachers retweet
3,0,3,0,1,im fucking fag said
3,0,3,0,1,females think dating pussy cute stuff make pussy
3,0,0,3,2,simplyaddictedtoguys woof woof hot scally lad
3,0,3,0,1,ya ever asked bitch bitches kanye voice yes
3,0,3,0,1,u gone bring ur side bitch game know ya gf friends swear
3,0,1,2,2,woof woof hot soles
3,0,1,2,2,lemmie eat oreo amp dishes one oreo lol
3,0,3,0,1,bitch fuck u maybe youll get better
3,1,2,0,1,fuck red malone man bitch ass niggah could please use complete sentences
3,0,0,3,2,eggplant emoji doey say looked like scream lmao
3,0,3,0,1,hennessey venom gt thats one sexy bitch
3,0,3,0,1,seh pussy wetter shower curtainahmesehwetnessltlmao
3,0,3,0,1,eaglesnation every eagles need see pic posted bitch said racist shit
3,1,2,0,1,yo fuck skateboarding yall wood pushing faggots man ball life
3,0,1,2,2,baby monkey bathtime soooo adorable
3,0,3,0,1,aint shit damn skippy lol
3,1,2,0,1,u ever kill ant sidewalk think damn nigga way get pussyno bs must b gtchance
3,0,3,0,1,rings mvps bitches lol
3,1,2,0,1,ppl talk bad ghettohood kid growing nigga funnnnnnn
9,0,7,2,1,facts tattoostattoo hes pussy tattooing nipples
3,0,3,0,1,rt bitches wanting act like niggas bad shit aint cuteeeee niggas act like bitches
3,0,3,0,1,get worshiping bitch woof woof
3,1,2,0,1,wow rt im lost buttcheek piercings yeah shes hoe
3,0,3,0,1,ok sis shed rather broke bitch shrugs shell tell works
3,2,1,0,0,queer gaywad
3,0,3,0,1,faggot read tweets dat k wasnt even funny lol
3,0,3,0,1,bitch ungrateful fr lulwhore
3,0,3,0,1,kidnapped yo bitch
3,3,0,0,0,alsarabsss hes beaner smh tell hes mexican
3,1,2,0,1,happy birthday nigs thanks yo
6,1,5,0,1,ur teacher tells u u homework bitch need go
3,1,2,0,1,nigga eating hoe lol hell yea lol john paul nigga said john paul
3,0,3,0,1,would yall lil ugly bald headed bitches stop making makeup amp weave
3,1,2,0,1,leafs better win damn game go riot shit earlychristmas better start looting nig
3,0,3,0,1,going back school sucks dick hoes attend
3,0,3,0,1,way fuck yo bitch year old
3,0,3,0,1,come never bring food dont car retard
3,0,3,0,1,richnow doesnt show hella tinder hoes im friend anymore chill brought like like prople
3,1,2,0,1,bout cowboys shutup pussy
3,0,3,0,1,lmaooooooooooo nigga ltbitch want likes depressing shitfoh
3,0,3,0,1,girl know spitting g shit amp going lbvsbitch plz
3,0,3,0,1,let make couple tweets cuzzo page wont get twitter jaillmao bitch dont trick
3,0,2,1,1,harlem shake excuse go full retard seconds
3,0,3,0,1,amen miley dont need act like hoe bc shes emotionally damaged foh
3,0,3,0,1,one loyal female wayyyyy better hoes idc
3,0,3,0,1,pussy licking pussy meow meow stopwhitepeople
3,0,3,0,1,check th man cowboysnation even faggot ny fans stands
3,0,3,0,1,happen vixen ent bitches got ran threw side like foothill bitch
3,0,3,0,1,im bitch okay nudes pat wow
3,3,0,0,0,youre fucking gay blacklisted hoe holding tehgodclan anyway
3,0,3,0,1,fuck wrong bitches nobody knows
3,0,3,0,1,yall shut upp make bitch
3,1,2,0,1,hate im pregnant type bitch
3,0,3,0,1,got bitches dm dont ever readem top
3,0,0,3,2,baseball season win yankees love started
3,0,3,0,1,little stupid bitch dont fuck yoooooouuuu
3,0,3,0,1,really asked dead ass serious tho could say bitch wheet lol
3,0,0,3,2,im early bird im night owl im wise worms
3,0,1,2,2,overdosing heavy drugs doesnt sound bad tonight pussy shit every day
3,0,0,3,2,pit bulls photographed lovely fairy tale creatures fairy tale creatures
3,0,3,0,1,aw fag dont tweet aw lol
3,0,0,3,2,long lakers trash could careless thats real cc hahaha
3,0,3,0,1,didnt say anything tho kiss faggot
3,0,0,3,2,play soccer cheat girls wear khaki coloured cargos haircut yup
3,0,3,0,1,could go fat ass bitch lap
3,0,3,0,1,missed calls das yo po bitch twitter finna screamn freemoneymelle
6,0,6,0,1,ya side bitch gotta know rules shitanybody ask cousin jersey thinkin bout moving lmmfao
3,0,3,0,1,amo los pies fuck yeah
3,0,3,0,1,hoes thinking meat wont slap ass ainna bruh
3,0,3,0,1,yall bitches wit edges talking
3,0,3,0,1,yall still going trick treating year nahhell yeah ima da sweet tooth bandit steal bitches bags n shit
3,0,3,0,1,wanna sex mom fuck right pussy came damn got hacked like fuck
6,0,6,0,1,kiss u eyes open watch bitchlmfao
3,0,3,0,1,woulda coulda shoulda ass hoe
3,0,3,0,1,happy bday bitch ass nigga preciate bitch roll
3,0,3,0,1,used send bitch
6,0,6,0,1,ugly bitches like im wcw duh bitch aint nobody elses
3,1,2,0,1,nigga know hacky sack hoes nah throw look passes lmao
3,1,2,0,1,glad im getting outta atlanta nothing bunch niggas amp outta jail amp dumb bitches mad kids fuckin em
3,0,1,2,2,isnt ghettoits smart im idc
3,0,2,1,1,would wife hoe cuz wouldnt care cheating force relationship first place
3,0,3,0,1,single isnt excuse hoe
3,1,2,0,1,white boy power bitch black power bitch
3,0,3,0,1,lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes chill
3,0,3,0,1,bitch u around world back
3,0,3,0,1,dont get dick sucked yo party bad bitch im fr gone set
3,0,2,1,1,oomf soooo cute probably hoes lot
3,0,3,0,1,every cartoon alway saving hoes lmao lmao damn captain saveahoe
3,0,1,2,2,wants get nose bad bois scally chav sockfetish stinking hot sox legs
3,0,3,0,1,wish bitch like brother keezy ooooow bet
6,0,6,0,1,dressed cat halloween basic pussy
4,0,4,0,1,pornhub get gaming stream feature dumb bitches gtfo get katielt
3,0,3,0,1,stop scared choke sex u bitch ass niggas shell like says guy hits women bed foh
3,0,3,0,1,ha well iguess make hoes loyal bro theyll never loyal hoes nig
6,0,6,0,1,oh man molly ho fuck ya seed fixed
3,0,3,0,1,youre man refer every girl bitch
3,0,3,0,1,lmfao cat started beating shit nigga finally got pussy nigga
3,0,1,2,2,peel peel bring back rewind back im move shaq line ooooow tf said trash
3,0,2,1,1,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
3,0,3,0,1,naw old tape new cover upcoming mixtape kingofthehill yeah im waiting hoe mayne
3,0,3,0,1,ol dirty foot ass bitches funny
3,0,3,0,1,thats get yellow flags amazing hell yeah niggy
3,0,3,0,1,dont got time bitches actin iffy
3,0,0,3,2,ucfpinkparty come stay alive knights nation still early bird special comeatmeut
3,0,2,1,1,hoes aint loyal aint smfh amp wonder nobody decent wants
3,0,3,0,1,bruh studs keep thinking im soft hell ask ya girl many times screamed bitch oh okay stfu bye hoe
3,0,3,0,1,dry pussy bitches always blame condom
3,0,3,0,1,shut yo bitch ass
3,0,3,0,1,gucci mane jail dropping mixtapes every month hoes cant even text back
3,0,3,0,1,love hoes money wats wrong niggas
6,0,6,0,1,loyal bitch burbs without daddy issues like finding holographic mewtwo sounding like lol
3,0,3,0,1,easy cum easy hoe thats fact
3,0,3,0,1,charlie sheen real major fucking respect charlie sheen
3,0,3,0,1,wish bae got hoes tho
3,0,3,0,1,fuck twerking bitch cook
3,0,3,0,1,bitch wtf
3,1,2,0,1,shut zoe fight pussy zoe im good man good maam move along
3,0,3,0,1,lmao fucking snake bitches em
3,0,3,0,1,big booty hoes everywhere sheesh damn
3,0,0,3,2,stay tuned update report b weeks bum
3,0,0,3,2,play soccer cheat girls wear khaki coloured cargos haircut yes lmfao
3,0,3,0,1,oregon chokes every year get field trash ass program rft
3,0,3,0,1,def cowboy lol rt terrell owens best eagle amp cowboy ever dude cried like bitch tv romo
3,3,0,0,0,lmfaoooo hate black people theres black people niggers
3,0,3,0,1,could u bitch potent
3,0,1,2,2,pissed lad past would lick dirty soles slept
3,0,1,2,2,love frat boy w soft long soles
3,0,1,2,2,sexy lad hot soles arches
3,0,3,0,1,nah fam gotta cheat hoes depends female feel
3,0,0,3,2,got hicks lol
3,1,2,0,1,new twitter confusing shit go back south america bitch
3,0,3,0,1,toto means ass vaginai think pussy cause toto santi like nasty pussy
3,0,3,0,1,actually choose ugly bitch ass must fat
3,0,3,0,1,bitch couldnt kill vibe ya tried dis love miley
3,0,3,0,1,im tired bitches saying look mean nigga big af wear tight shirts grim everybody
6,0,0,6,2,birds grandkids may never see thanks climate change climate
3,0,3,0,1,stay beautiful bitch
3,0,3,0,1,wutkinda r purple ceeeleeeman gurl jus playin stupid hoe track still shitted sum gurls
3,0,3,0,1,money getting taller bitches getting blurry
3,1,2,0,1,aint never seen bitch obsessed nigga im obsessed mine
3,0,2,1,1,kobe stay talking trash lets forget meant one smh
3,2,1,0,0,least im nigger lmfao
3,0,3,0,1,people always asking im mixed bad asian bitch lol
3,2,1,0,0,ariza snake coward least isnt cripple like hero roach lmaoo
3,0,1,2,2,fosters home imaginary trash whoa chill show everything tf
6,0,5,1,1,lowkey tired tired quiet go sleep hoe
3,0,3,0,1,stop bringing weird niggers mentions
3,0,3,0,1,dont love hoes
3,0,3,0,1,yo girl cant homeboys ol weak bitch ass nigga
3,0,3,0,1,think worst advice gave dont pussy speed lol
3,0,3,0,1,quote tweet favorite animalpussy
3,0,3,0,1,hate strippers tell theyre dancers hoe ballet dancers dont pop pussy beethoven stripper
3,0,3,0,1,andrewbryant poff double vision beers poff double pussy smh
3,0,3,0,1,bitches twerk computer ya ya damn
3,0,3,0,1,prince art nobody takin bitch
3,0,1,2,2,welfaregovernment aid claimed white people yall black slander trash
3,0,3,0,1,bitches dont care play role
6,0,6,0,1,took find hiding lime tree dis bitch da wrong tree bro
6,3,2,1,0,drakes new shoes released nikejordan yes theres glitter shoes dudes fag
3,0,1,2,2,inna di ghetto alone lmaoo
3,0,1,2,2,hoes austin teach us austini teach u get curved thats know
3,1,2,0,1,bitches cant cook know suck dick ones
3,0,3,0,1,fat hoes get chose lol
3,0,3,0,1,hoesaintloyal well theyre hoesno one expects loyal
3,0,3,0,1,ol bitch ass
3,1,2,0,1,bruh im tired niggas retweetin miley cyrus naked bitch aint types bad lmaooo
3,0,3,0,1,tony romo mavs game dont mean still bitch lmao fuk cowgirls lol bitch fuck
3,0,3,0,1,holy shit freddie highmore charlie chocolate factory rolls floor laughing
3,1,2,0,1,dont want sex gf feel like im using anonymous whata faggot
3,0,3,0,1,one followers somebody bitch dont
3,0,3,0,1,ya bitch always bitching clearly care annoying bitch
3,0,3,0,1,catfish hoes thinkin slick niggas catching
3,0,3,0,1,cant worry bitch aint worried bout real
3,0,3,0,1,side hoes insecure niggas cant handle real one
3,0,3,0,1,rt lmao bitch come scooting tent like fuck shit
3,0,3,0,1,cousin said share hoes brothers said sharing caring love brothers
3,0,3,0,1,im hungry ionn wanna spend money foodbroke hoe problems
6,0,6,0,1,dese hoes lyin us nigga
3,0,3,0,1,oh yeah fuck bitch
3,0,1,2,2,eli manning threw nflleading th interception season lmao trash
3,0,1,2,2,usc senior rb anthony brown calls head coach steve sarkisian racist quits team hes bitch
3,0,3,0,1,guess also zero time mansplaining adios stfu pussy
3,0,1,2,2,chilling sexy scally lad
3,0,3,0,1,aint sharing bitch mines mines
3,0,3,0,1,money impress simple broke bitches
3,0,2,1,1,pisces never anybodys bitch dont let people control change rigghhht
3,0,1,2,2,tuku ho idk blah blah blah
3,0,1,2,2,im mad cuh hahaha suure tuku ho ita
3,0,3,0,1,hoes crazy
3,0,3,0,1,aint ever gonna slice bitch kevin hart
3,0,3,0,1,oomf fuckin fine tho dam dont bitch
3,1,2,0,1,wonder girl gave head boys drink magaluf twitter probly sends nudes fags
3,0,3,0,1,newsatquestions yeah bitch yeah bitch call _______ maybe b steveo c later jesse pinkman
3,0,3,0,1,hickies thighs right pussy gtgtgt right
3,0,3,0,1,would still love im longer young beautiful ugly monkey ass
3,1,2,0,1,yall come frontbitch aint coming
3,1,2,0,1,faggot bitch
3,0,3,0,1,yea im ipad dont work friday lets ball faggot work
3,0,1,2,2,scally lad would get
3,2,1,0,0,gerryshalloweenparty halloween yesterday stupid nigger
3,0,2,1,1,chrus still supahot tho walks teacher test drops test bitch fohead
3,0,3,0,1,love eating pussy lol never get full lol eat shit forever lol ever
3,0,3,0,1,slushes hoes nasty anyway famthem hoes taste like meds
3,0,2,1,1,slushes hoes nasty anyway fam
3,1,2,0,1,bobby bitchby getting live fuck hell yea play hoe workout
3,0,3,0,1,yo bitch gucci mane rt bitch stoner
3,0,3,0,1,ride bitch handle bars
3,0,3,0,1,aint hoe get traphoussseeeee
3,0,0,3,2,sad tv character deaths still bitter stark man
3,0,3,0,1,harbor bitches party bus hoes lol
3,0,3,0,1,pussy love
3,0,3,0,1,ultraviolence video coming little bitch mtvhottest lana del rey bitchy promo
3,0,3,0,1,way fuck bitch lmfao kittycopter
3,0,0,3,2,smuggler explains helped fighters along jihadi highway
3,0,3,0,1,aww avis look cute together gotta get ike avi bitch
3,0,3,0,1,simple dont hoedont worry exposed fight mewhy
3,0,3,0,1,whys bitch boosting size isnt exactly healthy tho
3,0,3,0,1,bet bitches kim bye
3,0,3,0,1,damn near gotta protect tweets stalkers annoying got dope dick drive bitches loco
3,0,3,0,1,im making marack girlfriend aye b pullin hoes like taught
3,1,2,0,1,bruno fag boy love
3,0,3,0,1,must bitch sike naw always beefing
3,0,0,3,2,yankees look rally bottom th rallycap
3,0,3,0,1,dont take advantage nice person hoes everyjuan
3,1,2,0,1,happy birthday bitch nigga thanks pal
3,0,3,0,1,sad knowing hoes wont fuck bc aint got stacks wait till friday
3,0,3,0,1,cinco shit harder fucc niggayee fucc wit rich homie cuz dats ya homeboy fucc nicca
3,0,3,0,1,ewww said last sundayas last sunday read nigs
4,1,3,0,1,punch real niggas face cause pussy nigga gonna punch right back strong mush shake
3,0,3,0,1,pussy still fresh lt something stank girls say
4,0,4,0,1,ass slapping one greatest things haha slapped girl ass got mad aint get pussy week
3,0,3,0,1,yeah texans much better fucking retard see youre mad
3,1,2,0,1,nd wtf dark bitches blonde please several seats hoe looking like blackampmilds
4,0,4,0,1,theres lane bitches need stay left n get right fuck outta face
3,0,3,0,1,hate boys deny bitches smh
3,1,2,0,1,ya nigs still saying yall dont eat butt straight face
3,0,3,0,1,im boss ass bitch needs sit corner
3,0,3,0,1,hes hoe cant
3,0,3,0,1,paul thinkin bout gettin rentals da weekend oooh shit bitches betta stay da streets
6,0,6,0,1,bitches hold nigga get locked nigga go college military different story
3,1,2,0,1,friends hate ratchet hoe
3,1,2,0,1,love fuck niggas hoes
3,0,3,0,1,hot meat sexy fuck scally lad would love meet trainers
3,0,3,0,1,sniff perved scally lad fuck yeah
3,0,3,0,1,bitches love sosa
4,0,3,1,1,legit watched seconds wtf prob cause retarded smh
3,0,3,0,1,name cat ideas mr pussy
3,0,2,1,1,woof woof sexy thug boy scally
3,0,3,0,1,u see damn phone ringing married bitches makes demands havent called
3,0,3,0,1,tevin favorite sophomore think hes funny hes really lmaoo hes little hoe
3,0,3,0,1,sex positions u call fucking soul outta bitch
3,2,1,0,0,bored supposed cute faggot sometimes
